platform,search_keyword,title,price,deadline,category,applicants,posted_date,url,description,ai_score,ai_reason,price_yen
CrowdWorks,業務効率化 ツール,[高単価] AIで企業の業務を自動化する事に自信のある方募集,"1,000,000円",2026年03月02日,AI・チャットボット開発,40人,2026年02月16日,https://crowdworks.jp/public/jobs/12930539,"[高単価] AIで企業の業務を自動化する事に自信のある方募集 AI・チャットボット開発の仕事の依頼
SOK88 (人事)
 (0件のレビュー) 本人確認済み 発注ルールチェック未回答
仕事の概要
固定報酬制
	
1,000,000円 〜


納品希望日
	-

掲載日
	2026年02月16日

応募期限
	2026年03月02日
応募状況
応募した人 40 人契約した人 0 人募集人数 2 人気になる！リスト 36 人
この仕事に応募したクラウドワーカーを見る 
仕事の詳細
□ 背景
弊社はwebマーケティング支援の会社をしており、
簡易的な事務作業などで人手が足りてない企業を
リストアップして営業をかけることが得意です。

□ 依頼したい業務

地方の企業の簡易的な事務作業系で、
巻き取れそうなものをターゲットに
AIの業務効率化＋主婦など簡易的な人材を
柔軟に業務効率化をし続けること

ソリューションに関しては
どんなAIツールを用いても構いません。
(Cursor,CrawBot,claudecodeなど)

※実際に企業の自動化を柔軟に対応出来てる
レベルが高い人材のみの募集です※

□ 報酬
50~200万円 (要相談)

□ 応募
自己紹介と具体的な実績や事例

※自動やテンプレの応募は通報させて頂きます。
クライアント情報
SOK88 (人事)
ありがとう 3 件
本人確認済み
発注ルールチェック未回答
総合評価
-
募集実績
9 件
プロジェクト完了率
-
SOK88 (人事)の詳細を見る
 
最近応募したクラウドワーカー
クラウドワーカー	応募日時
 sodasoda	2026/03/01 00:20
 gourmetktline	2026/02/28 16:41
 mkss31	2026/02/27 19:55
 tomyuta	2026/02/25 11:30
 AppMaster	2026/02/25 11:17
 株式会社NCS	2026/02/25 00:04
 tou８８	2026/02/24 11:03
 koji0626	2026/02/24 08:43
 REN_772	2026/02/23 13:22
 backybox	2026/02/22 16:59
 AECS	2026/02/21 11:04
 apowork3385	2026/02/21 10:41
 Ainojidai	2026/02/21 04:52
 サムレスレコード	2026/02/20 21:24
 taroshun32	2026/02/18 13:19
 CROWN_2026	2026/02/17 23:01
 サイバーワン	2026/02/17 11:17
 mayaki_ebd6	2026/02/17 11:12
 ERIC	2026/02/17 08:10
 田中優史	2026/02/17 07:52

会員登録してさっそく仕事に応募しよう！

会員登録（無料）

SNSアカウントで利用（無料）

Facebook
Yahoo!ID
Google
AI（人工知能）・機械学習の他の求人・仕事を探す
すべての仕事カテゴリ
AI（人工知能）・機械学習
AI・チャットボット開発
機械学習・ディープラーニング
ChatGPT開発
AI・チャットボット開発
AIアノテーション",245,"マッチ: 自動化, bot, チャットボット, chatgpt, gpt",1000000
ランサーズ,Python 開発,Google Workspace/LLM連携！AI仕事報告書自動生成システム構築の仕事 [IT・通信・インターネット],予算：60万円,,,,,https://www.lancers.jp/work/detail/5496791,WebRTC・リアルタイム通信を得意とするフルスタックエンジニアです。 ■ 得意領域 ・WebRTC（P2... もっと見る,45,マッチ: ai,600000
ランサーズ,Python 開発,【募集】Bubble×Supabaseが扱えるSaaS開発者を探しています！の仕事 [コンサルティング・シンクタンク],"500,000円",,,,,https://www.lancers.jp/work/detail/5500482,■自己紹介 お会いできてよかったです。 C++を基盤としたシニアエンジニアとして、高性能システム設計とAI/L... もっと見る,45,マッチ: ai,500000
ランサーズ,自動化 ツール,Excelでの社内業務改善構築の仕事 [建築・工務店],"500,000円",,,,,https://www.lancers.jp/work/detail/5500429,ご覧いただき、ありがとうございます。 私は、「事業をどう成長させるか」という経営者目線から、複雑な業務を誰で... もっと見る,45,マッチ: excel,500000
ランサーズ,AI開発,【ペア参加必須】英会話音声収録（在宅・アプリ使用）の仕事 [IT・通信・インターネット],"500,000円",,,,,https://www.lancers.jp/work/detail/5493499,はじめまして！ 元システムエンジニアのWebデザイナー、「yucreate（ユークリエイト）」です。 1年半ほ... もっと見る,25,マッチ: ,500000
ランサーズ,AI開発,大企業の業務効率化AIプロジェクトの技術方針策定を支援するAIテックリード募集の仕事 [IT・通信・インターネット],"300,000円",,,,,https://www.lancers.jp/work/detail/5423720,はじめまして。 これまで開発会社に所属したエンジニアとして、多数のプロジェクトを成功に導いてきました。 特... もっと見る,45,マッチ: ai,300000
ランサーズ,ChatGPT API,データ利活用を推進するエンジニア募集！AIツールをフル活用し、データベース設計・構築の依頼の仕事 [IT・通信・インターネット],"200,000円",,,,,https://www.lancers.jp/work/detail/5498823,WebRTC・リアルタイム通信を得意とするフルスタックエンジニアです。 ■ 得意領域 ・WebRTC（P2... もっと見る,45,マッチ: ai,200000
ランサーズ,ChatGPT API,法人向け生成AIサービスのUI/UX設計・実装を支援してくださるエンジニア募集（フロントエンド）の仕事 [IT・通信・インターネット],"200,000円",,,,,https://www.lancers.jp/work/detail/5445161,クラウドワークスでは、エンジニア契約ランキング全国４位に選んでいただきました。 ******** はじめま... もっと見る,45,マッチ: ai,200000
ランサーズ,ChatGPT API,法人向け生成AIサービス（RAG・議事録機能）の設計・開発を支援エンジニア募集（AI／バックエンド）の仕事 [IT・通信・インターネット],"200,000円",,,,,https://www.lancers.jp/work/detail/5445159,プロフィールをご覧いただき、ありがとうございます。 株式会社ノーコードソリューションズ代表の仙入（せんにゅう）と... もっと見る,45,マッチ: ai,200000
ランサーズ,AI開発,産業機械向けAI異常検知・状態推定システムの開発・導入支援エンジニア募集（AI／エッジ・組み込み）の仕事 [IT・通信・インターネット],"200,000円",,,,,https://www.lancers.jp/work/detail/5450864,これまで大学〜大学院での学校支援プロジェクトや学会発表を経験後、公立小の教員を経験。その後以前から関心があったIT... もっと見る,45,マッチ: ai,200000
